,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
2,242.59,596.1,71.1,0.0,1.11,1,Apollo,2
3,243.23,419.9,72.2,47.0,0.0,1,Apollo,2
4,244.5,189.1,71.8,80.0,0.4,1,Apollo,2
6,246.76,191.6,72.6,57.0,0.0,1,Apollo,2
7,248.5,194.2,62.7,156.0,9.5,1,Apollo,2
8,249.17,205.0,59.2,243.0,13.2,1,Apollo,2
9,250.68,242.2,59.3,213.0,12.9,1,Apollo,2
10,252.19,242.7,58.3,252.0,13.9,1,Apollo,2
11,252.98,250.1,64.41,167.0,7.9,1,Apollo,2
12,254.53,254.9,61.6,332.0,9.2,1,Apollo,2
13,256.07,255.8,57.9,303.0,14.4,1,Apollo,2
14,256.88,256.3,59.6,239.0,12.7,1,Apollo,2
15,258.48,262.8,58.7,198.0,13.5,1,Apollo,2
16,260.08,265.61,60.0,222.0,12.2,1,Apollo,2
17,260.92,265.7,62.2,240.0,10.1,1,Apollo,2
18,262.42,252.1,61.7,310.0,10.5,1,Apollo,2
19,263.2,248.5,62.3,196.0,9.9,1,Apollo,2
20,264.7,248.6,62.4,268.0,9.7,1,Apollo,2
21,266.21,249.1,65.41,140.0,6.8,1,Apollo,2
22,267.0,250.6,64.8,199.0,6.9,1,Apollo,2
23,268.53,252.9,65.0,161.0,7.2,1,Apollo,2
24,270.06,252.9,62.4,288.0,9.81,1,Apollo,2
25,270.92,260.2,64.3,260.0,8.1,1,Apollo,2
26,272.62,272.3,59.0,179.0,13.3,1,Apollo,2
27,274.26,279.7,61.1,337.0,11.0,1,Apollo,2
28,275.06,272.11,58.7,224.0,12.6,1,Apollo,2
31,278.21,389.2,53.5,207.0,20.0,1,Apollo,2
32,278.76,308.7,64.6,93.0,8.81,1,Apollo,2
33,280.67,207.8,60.7,239.0,12.5,1,Apollo,2
34,282.11,235.2,58.6,248.0,14.8,1,Apollo,2
35,282.89,245.8,58.8,371.0,14.4,1,Apollo,2
36,284.4,249.8,63.6,247.0,9.7,1,Apollo,2
37,285.2,251.2,62.0,237.0,12.1,1,Apollo,2
38,286.27,293.2,58.8,283.0,14.5,1,Apollo,2
39,287.37,331.1,61.6,304.0,11.7,1,Apollo,2
40,290.59,349.3,57.3,329.0,16.0,1,Apollo,2
41,292.05,360.4,60.6,323.0,13.0,1,Apollo,2
42,292.81,355.8,61.2,349.0,12.3,1,Apollo,2
43,293.81,339.0,60.2,273.0,13.1,1,Apollo,2
44,294.89,345.3,61.2,262.0,12.1,1,Apollo,2
45,295.9,344.4,59.8,273.0,13.8,1,Apollo,2
46,300.12,340.5,52.4,455.0,20.9,1,Apollo,2
48,305.03,1073.6,75.8,50.0,0.9,1,Apollo,2
49,305.51,1073.6,75.2,5.0,1.4,1,Apollo,2
50,307.19,0.0,57.0,301.0,16.5,1,Apollo,2
51,308.89,505.2,76.41,0.0,0.4,1,Apollo,2
52,309.19,658.5,76.5,153.0,0.2,1,Apollo,2
53,310.57,382.8,63.3,311.0,13.6,1,Apollo,2
54,310.75,185.5,67.0,207.0,10.2,1,Apollo,2
55,312.08,246.2,64.41,261.0,12.4,1,Apollo,2
56,312.89,254.7,62.8,404.0,13.7,1,Apollo,2
57,314.74,283.11,62.2,310.0,14.7,1,Apollo,2
58,315.05,305.4,60.7,365.0,16.0,1,Apollo,2
59,315.75,329.6,61.7,317.0,15.1,1,Apollo,2
60,316.9,355.1,61.3,311.0,15.5,1,Apollo,2
61,317.99,364.9,66.5,224.0,11.3,1,Apollo,2
62,319.17,374.2,64.0,387.0,12.6,1,Apollo,2
63,320.38,381.0,67.1,251.0,9.7,1,Apollo,2
64,321.05,343.7,59.5,309.0,17.2,1,Apollo,2
65,322.0,393.0,65.5,313.0,11.3,1,Apollo,2
66,322.86,405.7,61.3,291.0,15.4,1,Apollo,2
67,324.59,412.8,59.9,334.0,20.8,1,Apollo,2
68,325.17,393.1,61.3,438.0,15.6,1,Apollo,2
69,326.58,337.2,56.4,346.0,20.3,1,Apollo,2
70,328.54,370.0,56.1,429.0,20.7,1,Apollo,2
71,329.01,378.2,61.7,473.0,15.4,1,Apollo,2
