,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,553.04,158.9,94.9,102.0,-0.2,1,AstroBit,14
1,554.07,234.2,81.0,329.0,14.7,1,AstroBit,14
2,555.01,276.3,80.7,253.0,12.8,1,AstroBit,14
3,556.11,547.4,68.4,497.0,22.3,1,AstroBit,14
4,557.34,623.1,62.7,676.0,32.2,1,AstroBit,14
5,558.59,643.1,57.1,671.0,35.6,1,AstroBit,14
6,559.14,647.6,56.0,743.0,37.2,1,AstroBit,14
7,644.56,4.9,100.9,158.0,-6.4,1,AstroBit,14
8,645.12,147.8,76.3,471.0,15.6,1,AstroBit,14
9,668.85,698.1,59.7,1628.0,32.5,1,AstroBit,14
10,669.07,704.7,64.8,1655.0,33.0,1,AstroBit,14
11,670.57,701.4,61.3,1699.0,37.2,1,AstroBit,14
12,671.04,580.3,64.2,1748.0,35.3,1,AstroBit,14
13,672.59,576.0,55.2,1734.0,38.4,1,AstroBit,14
14,673.07,479.0,58.8,1880.0,48.5,1,AstroBit,14
15,674.54,360.9,78.3,1964.0,34.4,1,AstroBit,14
16,677.12,577.9,68.7,1779.0,36.2,1,AstroBit,14
17,678.73,703.7,45.3,1588.0,39.6,1,AstroBit,14
18,682.64,606.6,72.8,1773.0,33.1,1,AstroBit,14
19,684.62,512.1,52.8,1701.0,34.9,1,AstroBit,14
20,688.86,628.9,60.1,1694.0,37.3,1,AstroBit,14
21,689.22,644.0,63.3,1690.0,31.7,1,AstroBit,14
22,691.22,525.7,55.3,1712.0,31.8,1,AstroBit,14
23,692.54,581.3,60.3,1760.0,36.1,1,AstroBit,14
24,693.19,576.1,66.8,1740.0,32.9,1,AstroBit,14
25,694.62,611.2,54.8,1686.0,34.2,1,AstroBit,14
26,695.15,542.7,57.7,1777.0,46.5,1,AstroBit,14
27,696.63,513.3,51.7,1696.0,32.9,1,AstroBit,14
28,697.21,589.1,63.4,1741.0,28.9,1,AstroBit,14
29,698.66,673.1,61.5,1674.0,29.9,1,AstroBit,14
30,702.77,527.9,61.4,1729.0,32.9,1,AstroBit,14
31,705.25,405.2,45.4,1736.0,50.3,1,AstroBit,14
32,706.56,506.0,64.6,1827.0,31.6,1,AstroBit,14
33,708.84,590.7,61.3,1750.0,31.6,1,AstroBit,14
34,709.21,621.0,55.8,1675.0,34.1,1,AstroBit,14
35,711.16,546.2,63.5,1727.0,29.6,1,AstroBit,14
36,712.7,582.4,54.2,1701.0,35.7,1,AstroBit,14
37,715.24,559.3,62.1,1660.0,39.2,1,AstroBit,14
38,716.83,629.0,63.1,1703.0,33.4,1,AstroBit,14
39,717.19,620.8,62.1,1678.0,30.4,1,AstroBit,14
40,718.6,586.3,51.9,1695.0,40.5,1,AstroBit,14
41,719.14,513.1,66.9,1800.0,35.5,1,AstroBit,14
42,725.17,589.1,52.8,1706.0,44.4,1,AstroBit,14
43,728.65,569.1,50.1,1744.0,38.4,1,AstroBit,14
44,729.19,536.5,56.0,1751.0,28.6,1,AstroBit,14
45,730.53,644.3,66.8,1720.0,32.5,1,AstroBit,14
46,731.08,621.1,50.9,1664.0,36.1,1,AstroBit,14
47,732.59,639.9,53.2,1618.0,29.5,1,AstroBit,14
48,733.06,654.7,69.2,1734.0,31.8,1,AstroBit,14
49,737.03,573.1,63.1,1729.0,34.1,1,AstroBit,14
50,738.65,591.3,48.7,1727.0,36.6,1,AstroBit,14
51,739.01,500.9,61.9,1852.0,37.6,1,AstroBit,14
52,740.58,521.3,63.0,1776.0,34.8,1,AstroBit,14
53,741.05,554.2,52.7,1732.0,33.5,1,AstroBit,14
54,745.18,452.9,56.3,1819.0,39.7,1,AstroBit,14
55,746.52,554.5,59.4,1764.0,31.9,1,AstroBit,14
56,747.14,523.7,42.3,1794.0,51.2,1,AstroBit,14
57,748.53,489.1,47.5,1726.0,32.9,1,AstroBit,14
58,750.63,552.0,48.8,1700.0,30.5,1,AstroBit,14
59,752.5,553.6,62.3,1671.0,26.5,1,AstroBit,14
60,753.0,568.7,66.1,1743.0,35.1,1,AstroBit,14
61,754.58,640.5,59.4,1705.0,33.2,1,AstroBit,14
62,755.06,594.1,64.6,1730.0,31.6,1,AstroBit,14
63,756.55,620.5,65.2,1654.0,25.5,1,AstroBit,14
64,757.23,614.7,71.4,1762.0,32.4,1,AstroBit,14
65,758.81,572.6,55.2,1674.0,41.3,1,AstroBit,14
66,759.06,586.9,63.9,1744.0,32.6,1,AstroBit,14
67,763.03,494.9,53.1,1767.0,35.5,1,AstroBit,14
68,764.62,496.5,47.1,1755.0,42.0,1,AstroBit,14
69,766.57,639.7,61.2,1677.0,29.6,1,AstroBit,14
70,769.15,549.6,59.6,1737.0,32.5,1,AstroBit,14
71,770.55,585.9,68.8,1675.0,29.0,1,AstroBit,14
72,771.05,563.0,62.9,1765.0,34.4,1,AstroBit,14
73,773.12,445.8,59.1,1814.0,40.4,1,AstroBit,14
74,776.61,507.7,64.8,1737.0,31.5,1,AstroBit,14
75,777.1,585.5,65.7,1726.0,29.1,1,AstroBit,14
76,781.04,379.5,55.0,1772.0,42.1,1,AstroBit,14
77,782.55,559.2,68.6,1772.0,34.2,1,AstroBit,14
78,783.07,555.5,61.8,1739.0,29.5,1,AstroBit,14
79,784.52,558.7,61.8,1755.0,30.3,1,AstroBit,14
80,785.17,590.6,59.8,1686.0,25.7,1,AstroBit,14
81,786.61,565.0,65.5,1753.0,31.5,1,AstroBit,14
82,787.3,583.2,55.2,1647.0,32.4,1,AstroBit,14
83,788.74,591.1,62.2,1705.0,27.8,1,AstroBit,14
84,789.08,615.4,62.3,1692.0,30.5,1,AstroBit,14
85,793.01,513.5,61.8,1718.0,31.2,1,AstroBit,14
86,795.09,504.9,55.3,1768.0,40.7,1,AstroBit,14
87,796.62,554.0,57.5,1763.0,36.2,1,AstroBit,14
88,797.04,539.8,60.9,1748.0,35.2,1,AstroBit,14
89,798.68,536.2,66.5,1773.0,35.4,1,AstroBit,14
90,801.08,499.4,59.5,1773.0,35.9,1,AstroBit,14
91,803.23,448.1,51.5,1792.0,39.8,1,AstroBit,14
92,818.71,554.6,77.8,1821.0,31.8,1,AstroBit,14
93,819.12,617.9,60.5,1610.0,22.7,1,AstroBit,14
94,820.81,506.6,64.0,1723.0,30.4,1,AstroBit,14
95,821.14,642.5,65.8,1659.0,26.9,1,AstroBit,14
96,822.94,655.5,78.5,1625.0,17.8,1,AstroBit,14
97,823.21,691.9,48.5,1570.0,25.9,1,AstroBit,14
98,824.65,711.7,53.4,1627.0,26.8,1,AstroBit,14
99,825.06,528.8,65.3,1654.0,19.0,1,AstroBit,14
100,826.57,684.2,69.5,1658.0,28.2,1,AstroBit,14
101,827.0,500.2,81.3,1784.0,23.3,1,AstroBit,14
102,829.07,323.2,63.7,1740.0,42.1,1,AstroBit,14
103,830.72,199.5,52.9,1036.0,18.0,1,AstroBit,14
104,831.07,713.7,57.3,1592.0,37.0,1,AstroBit,14
105,832.62,740.1,71.4,1592.0,32.3,1,AstroBit,14
106,833.19,590.0,46.3,1871.0,38.6,1,AstroBit,14
107,834.53,478.7,60.0,1787.0,33.5,1,AstroBit,14
108,835.09,505.1,61.4,1747.0,30.4,1,AstroBit,14
109,838.53,377.1,51.0,1845.0,38.2,1,AstroBit,14
110,839.07,347.6,46.8,1896.0,37.9,1,AstroBit,14
111,842.68,338.0,55.7,1870.0,37.4,1,AstroBit,14
112,843.14,304.8,58.6,1731.0,36.9,1,AstroBit,14
113,844.54,376.0,59.1,1749.0,36.4,1,AstroBit,14
114,845.08,385.4,57.9,1748.0,36.1,1,AstroBit,14
115,846.56,422.2,58.5,1750.0,36.3,1,AstroBit,14
116,847.13,412.8,58.4,1735.0,36.6,1,AstroBit,14
117,848.55,443.7,51.7,1647.0,35.4,1,AstroBit,14
118,849.11,438.9,59.5,1748.0,36.4,1,AstroBit,14
119,850.51,359.9,55.2,1778.0,37.9,1,AstroBit,14
120,851.09,344.5,55.9,1728.0,38.2,1,AstroBit,14
121,852.64,372.4,56.5,1801.0,37.5,1,AstroBit,14
122,853.0,342.8,55.6,1773.0,38.3,1,AstroBit,14
123,854.51,360.2,55.7,1707.0,38.0,1,AstroBit,14
124,856.71,374.9,62.3,1784.0,35.9,1,AstroBit,14
125,857.15,442.6,54.0,1673.0,26.4,1,AstroBit,14
126,858.52,444.9,48.2,1792.0,35.4,1,AstroBit,14
127,861.09,370.0,62.9,1831.0,31.4,1,AstroBit,14
