,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,144.52,131.7,65.6,65.0,-0.69,1,ChallengDriller,19
1,145.05,178.4,65.5,47.0,-0.62,1,ChallengDriller,19
2,147.13,179.7,55.2,403.0,11.4,1,ChallengDriller,19
3,148.55,200.2,57.7,282.0,7.41,1,ChallengDriller,19
4,151.17,154.1,60.5,372.0,9.68,1,ChallengDriller,19
5,450.49,0.0,43.1,-831.0,37.94,1,ChallengDriller,19
6,454.52,356.0,71.5,378.0,16.7,1,ChallengDriller,19
7,455.12,424.4,68.9,374.0,17.94,1,ChallengDriller,19
8,456.56,408.5,64.3,553.0,23.87,1,ChallengDriller,19
9,457.04,374.0,58.4,553.0,28.2,1,ChallengDriller,19
10,458.76,371.1,65.7,539.0,20.45,1,ChallengDriller,19
11,459.13,372.4,67.5,527.0,24.14,1,ChallengDriller,19
12,460.51,441.3,61.2,627.0,20.7,1,ChallengDriller,19
13,461.11,492.1,61.9,544.0,23.03,1,ChallengDriller,19
14,462.68,437.3,63.3,633.0,24.34,1,ChallengDriller,19
15,463.09,454.5,61.2,583.0,24.54,1,ChallengDriller,19
16,464.57,468.8,61.8,566.0,28.34,1,ChallengDriller,19
17,465.38,433.5,63.1,582.0,26.95,1,ChallengDriller,19
18,466.09,434.4,58.5,447.0,28.06,1,ChallengDriller,19
19,467.02,418.5,60.9,512.0,27.15,1,ChallengDriller,19
20,468.52,371.2,55.3,605.0,29.34,1,ChallengDriller,19
21,469.05,390.9,61.9,671.0,30.54,1,ChallengDriller,19
22,470.69,486.2,61.5,615.0,24.59,1,ChallengDriller,19
23,471.1,492.4,56.7,575.0,27.59,1,ChallengDriller,19
24,472.58,401.4,61.2,657.0,28.99,1,ChallengDriller,19
25,473.11,394.1,58.6,617.0,32.2,1,ChallengDriller,19
26,474.66,450.5,63.9,633.0,30.6,1,ChallengDriller,19
27,476.51,399.2,57.4,680.0,29.31,1,ChallengDriller,19
28,477.06,423.3,57.5,649.0,26.22,1,ChallengDriller,19
29,479.26,434.0,67.7,425.0,25.09,1,ChallengDriller,19
30,480.5,388.5,64.3,668.0,27.07,1,ChallengDriller,19
31,481.07,404.0,60.2,572.0,34.55,1,ChallengDriller,19
32,482.83,401.8,56.5,654.0,25.95,1,ChallengDriller,19
33,483.01,404.5,60.2,710.0,26.65,1,ChallengDriller,19
34,484.58,469.9,61.4,623.0,30.99,1,ChallengDriller,19
35,485.15,418.5,58.3,634.0,29.86,1,ChallengDriller,19
36,486.54,464.8,57.3,683.0,32.27,1,ChallengDriller,19
37,487.27,405.7,59.6,653.0,33.98,1,ChallengDriller,19
38,488.67,428.8,60.8,577.0,30.71,1,ChallengDriller,19
39,489.18,392.9,51.3,653.0,33.19,1,ChallengDriller,19
40,490.62,354.9,61.8,599.0,33.48,1,ChallengDriller,19
41,491.12,350.1,59.3,749.0,23.87,1,ChallengDriller,19
42,492.52,450.0,58.8,733.0,25.31,1,ChallengDriller,19
43,493.42,458.2,57.7,747.0,28.78,1,ChallengDriller,19
44,495.05,450.3,58.5,615.0,26.48,1,ChallengDriller,19
45,496.54,509.9,66.4,463.0,22.21,1,ChallengDriller,19
46,497.16,478.1,56.8,658.0,26.27,1,ChallengDriller,19
47,498.9,488.2,56.5,792.0,27.6,1,ChallengDriller,19
48,499.1,470.6,57.9,893.0,25.65,1,ChallengDriller,19
49,500.5,504.1,63.2,523.0,18.19,1,ChallengDriller,19
50,501.13,470.1,67.8,602.0,17.36,1,ChallengDriller,19
51,502.16,455.4,62.1,749.0,26.0,1,ChallengDriller,19
52,503.23,507.8,61.6,808.0,24.95,1,ChallengDriller,19
53,504.53,504.0,60.4,923.0,21.22,1,ChallengDriller,19
54,505.08,418.3,52.3,798.0,34.77,1,ChallengDriller,19
55,506.63,515.1,71.4,726.0,26.1,1,ChallengDriller,19
56,509.01,304.3,55.8,554.0,26.21,1,ChallengDriller,19
57,510.52,297.8,57.0,742.0,27.47,1,ChallengDriller,19
58,511.1,295.8,47.3,552.0,33.74,1,ChallengDriller,19
59,512.7,419.4,59.6,660.0,29.2,1,ChallengDriller,19
60,513.1,431.1,57.1,862.0,26.08,1,ChallengDriller,19
61,514.77,340.9,65.9,675.0,17.86,1,ChallengDriller,19
