,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,138.57,288.5,69.5,-55.0,0.14,1,Apollo,18
1,139.24,306.9,69.2,-43.0,0.12,1,Apollo,18
2,140.63,275.0,70.0,-94.0,-0.02,1,Apollo,18
3,141.02,194.7,68.0,-48.0,-0.09,1,Apollo,18
4,142.51,154.7,69.3,10.0,0.48,1,Apollo,18
5,143.03,148.5,69.7,33.0,0.3,1,Apollo,18
6,144.51,151.6,68.9,63.0,0.2,1,Apollo,18
7,145.03,147.8,69.2,73.0,0.52,1,Apollo,18
8,146.54,214.4,70.2,1.0,-0.42,1,Apollo,18
9,147.09,246.3,67.7,56.0,0.49,1,Apollo,18
10,148.54,248.6,69.6,76.0,0.43,1,Apollo,18
11,149.09,247.3,67.9,3.0,-0.13,1,Apollo,18
12,150.54,247.0,69.4,71.0,0.38,1,Apollo,18
13,151.11,208.6,62.2,233.0,7.15,1,Apollo,18
14,152.58,293.4,57.4,334.0,10.06,1,Apollo,18
15,153.1,332.9,58.0,443.0,11.87,1,Apollo,18
16,155.04,375.9,55.5,326.0,18.22,1,Apollo,18
17,158.63,433.2,58.7,501.0,7.51,1,Apollo,18
18,160.68,396.8,59.9,540.0,13.72,1,Apollo,18
19,161.06,396.3,48.0,452.0,16.48,1,Apollo,18
20,163.22,443.0,56.9,560.0,14.05,1,Apollo,18
21,164.55,429.4,56.5,476.0,14.27,1,Apollo,18
22,166.5,376.2,60.5,534.0,12.7,1,Apollo,18
23,168.65,392.4,54.2,418.0,16.74,1,Apollo,18
24,183.08,356.4,45.8,420.0,21.54,1,Apollo,18
25,210.5,371.4,74.9,30.0,-0.61,1,Apollo,18
26,211.02,342.7,59.4,293.0,12.82,1,Apollo,18
27,212.59,404.4,57.2,394.0,16.85,1,Apollo,18
28,213.28,384.1,65.4,387.0,12.84,1,Apollo,18
29,214.53,397.4,59.0,372.0,16.73,1,Apollo,18
30,215.04,383.9,60.6,418.0,15.63,1,Apollo,18
31,216.52,392.9,60.3,503.0,18.32,1,Apollo,18
32,217.02,396.0,53.3,483.0,19.34,1,Apollo,18
33,218.52,447.8,48.9,527.0,23.5,1,Apollo,18
34,219.06,389.2,52.5,527.0,24.0,1,Apollo,18
35,229.05,415.6,53.5,610.0,20.84,1,Apollo,18
36,234.57,323.1,53.1,532.0,18.49,1,Apollo,18
37,238.5,505.3,55.1,527.0,17.76,1,Apollo,18
38,240.52,405.7,56.1,612.0,19.63,1,Apollo,18
39,246.63,627.9,55.2,531.0,17.29,1,Apollo,18
40,250.73,472.7,52.8,555.0,18.03,1,Apollo,18
