,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,2.73,968.5,64.5,87.0,-56.8,1,AstroBit,10
1,4.13,1311.7,64.6,95.0,-56.9,1,AstroBit,10
2,84.98,339.3,65.3,347.0,-57.6,1,AstroBit,10
3,85.06,192.4,65.3,341.0,-57.8,1,AstroBit,10
4,86.53,139.2,65.5,340.0,-58.1,1,AstroBit,10
5,87.03,136.2,66.0,341.0,-58.2,1,AstroBit,10
6,88.6,708.7,66.0,334.0,-58.2,1,AstroBit,10
7,89.22,741.5,65.5,339.0,-58.4,1,AstroBit,10
8,90.59,699.0,66.0,342.0,-58.4,1,AstroBit,10
9,91.19,733.3,65.8,343.0,-58.4,1,AstroBit,10
10,92.56,676.4,65.6,334.0,-58.5,1,AstroBit,10
11,95.0,697.2,65.5,337.0,-58.6,1,AstroBit,10
12,96.51,691.0,66.5,339.0,-59.0,1,AstroBit,10
13,97.11,678.6,65.8,333.0,-59.0,1,AstroBit,10
14,98.06,690.5,65.9,325.0,-59.0,1,AstroBit,10
15,98.85,684.7,65.4,335.0,-58.8,1,AstroBit,10
16,100.64,698.7,65.5,339.0,-58.8,1,AstroBit,10
17,101.2,671.3,65.4,323.0,-7.7,1,AstroBit,10
18,102.6,527.1,65.6,-4.0,-0.5,1,AstroBit,10
19,103.11,228.3,65.0,-7.0,-0.3,1,AstroBit,10
20,104.53,431.2,64.8,-9.0,-0.2,1,AstroBit,10
21,105.03,605.6,65.1,6.0,-0.3,1,AstroBit,10
22,105.79,761.2,65.7,9.0,-0.2,1,AstroBit,10
23,107.07,1181.1,65.0,11.0,-0.2,1,AstroBit,10
24,108.5,829.6,64.4,11.0,-0.1,1,AstroBit,10
25,109.01,877.0,64.6,8.0,-0.1,1,AstroBit,10
26,110.6,741.8,64.7,13.0,-0.1,1,AstroBit,10
27,111.26,542.0,64.4,9.0,0.0,1,AstroBit,10
29,0.0,244.3,65.2,2.0,0.1,1,AstroBit,10
30,141.0,246.1,65.0,-2.0,0.0,1,AstroBit,10
31,142.66,264.0,64.7,9.0,-0.8,1,AstroBit,10
32,143.06,283.6,64.5,4.0,-0.5,1,AstroBit,10
33,144.52,357.4,64.7,13.0,-1.0,1,AstroBit,10
34,145.12,345.9,63.8,15.0,-1.0,1,AstroBit,10
35,146.66,372.4,64.1,14.0,-1.2,1,AstroBit,10
36,147.18,355.9,63.8,10.0,-1.2,1,AstroBit,10
37,148.77,285.9,63.8,15.0,-1.0,1,AstroBit,10
38,149.18,750.0,63.7,20.0,-1.1,1,AstroBit,10
39,150.51,132.7,62.2,30.0,-0.7,1,AstroBit,10
40,151.08,222.1,63.6,50.0,2.4,1,AstroBit,10
41,152.67,353.4,61.8,86.0,3.9,1,AstroBit,10
42,153.05,353.5,59.3,144.0,2.5,1,AstroBit,10
43,154.57,361.3,58.8,245.0,6.2,1,AstroBit,10
44,155.09,420.1,58.0,277.0,6.2,1,AstroBit,10
45,156.51,462.3,58.7,175.0,3.6,1,AstroBit,10
46,157.04,481.1,59.6,120.0,3.0,1,AstroBit,10
47,160.63,583.5,56.3,249.0,8.1,1,AstroBit,10
48,164.5,442.7,56.6,322.0,9.1,1,AstroBit,10
49,166.73,529.7,49.8,424.0,23.6,1,AstroBit,10
50,171.03,452.2,52.9,169.0,21.2,1,AstroBit,10
51,174.62,347.1,67.2,161.0,-3.3,1,AstroBit,10
52,175.03,315.1,52.2,522.0,7.8,1,AstroBit,10
53,176.57,439.8,62.2,277.0,3.9,1,AstroBit,10
54,177.01,526.7,60.7,310.0,6.2,1,AstroBit,10
55,178.53,595.3,58.6,357.0,6.2,1,AstroBit,10
56,179.11,526.4,57.4,401.0,14.0,1,AstroBit,10
57,180.53,582.5,58.7,402.0,18.1,1,AstroBit,10
58,181.14,524.7,63.7,425.0,-2.2,1,AstroBit,10
59,182.63,628.9,60.5,355.0,6.1,1,AstroBit,10
60,183.24,540.3,63.3,389.0,10.1,1,AstroBit,10
61,184.56,537.2,61.6,430.0,3.4,1,AstroBit,10
62,185.0,536.0,58.8,370.0,0.8,1,AstroBit,10
63,187.03,532.3,59.5,440.0,10.2,1,AstroBit,10
64,189.07,580.0,61.3,486.0,2.1,1,AstroBit,10
65,193.04,504.2,50.1,509.0,8.1,1,AstroBit,10
66,195.0,438.9,54.3,431.0,24.2,1,AstroBit,10
67,196.62,506.9,59.9,352.0,15.3,1,AstroBit,10
68,197.23,547.9,57.7,436.0,17.4,1,AstroBit,10
69,198.01,567.0,58.7,351.0,13.8,1,AstroBit,10
70,198.8,526.5,58.8,405.0,7.0,1,AstroBit,10
71,200.5,608.1,61.1,269.0,7.0,1,AstroBit,10
72,201.0,521.5,57.8,335.0,9.1,1,AstroBit,10
73,202.12,742.3,57.1,379.0,14.5,1,AstroBit,10
74,207.21,537.6,53.0,507.0,8.0,1,AstroBit,10
75,210.74,502.2,53.9,403.0,5.9,1,AstroBit,10
76,211.04,535.2,54.6,529.0,14.6,1,AstroBit,10
77,212.67,601.1,56.2,477.0,16.6,1,AstroBit,10
78,215.18,536.1,54.8,552.0,26.6,1,AstroBit,10
79,218.77,558.9,48.7,506.0,3.7,1,AstroBit,10
80,220.63,605.4,61.4,430.0,17.8,1,AstroBit,10
81,223.15,627.2,67.2,387.0,15.9,1,AstroBit,10
82,225.01,610.7,62.3,401.0,5.5,1,AstroBit,10
83,226.7,561.3,55.8,554.0,6.7,1,AstroBit,10
84,237.0,476.4,59.6,613.0,21.3,1,AstroBit,10
85,240.54,547.4,58.1,408.0,12.2,1,AstroBit,10
86,247.03,563.5,48.5,701.0,12.5,1,AstroBit,10
87,248.57,624.8,60.1,434.0,10.0,1,AstroBit,10
88,253.0,498.2,54.6,573.0,5.5,1,AstroBit,10
89,254.68,573.9,61.1,734.0,5.8,1,AstroBit,10
90,255.17,600.4,62.0,305.0,23.0,1,AstroBit,10
91,256.55,582.6,58.7,632.0,13.0,1,AstroBit,10
92,262.74,498.3,76.4,248.0,18.8,1,AstroBit,10
93,263.01,559.6,75.3,195.0,-7.1,1,AstroBit,10
94,264.54,512.5,52.1,618.0,18.7,1,AstroBit,10
95,265.25,535.7,47.7,757.0,15.6,1,AstroBit,10
96,267.08,479.9,53.2,604.0,17.5,1,AstroBit,10
97,268.69,528.6,57.9,620.0,6.3,1,AstroBit,10
98,269.26,580.8,60.2,731.0,12.6,1,AstroBit,10
99,270.58,515.3,66.0,585.0,9.2,1,AstroBit,10
100,271.05,546.8,59.8,723.0,11.9,1,AstroBit,10
101,272.58,541.1,61.9,630.0,7.4,1,AstroBit,10
102,273.02,544.5,56.2,713.0,12.6,1,AstroBit,10
103,274.64,518.5,50.1,910.0,16.9,1,AstroBit,10
104,277.18,462.7,60.8,946.0,14.6,1,AstroBit,10
105,278.72,554.3,58.1,697.0,11.9,1,AstroBit,10
106,279.17,574.9,60.3,750.0,9.1,1,AstroBit,10
107,280.6,585.4,67.2,522.0,1.4,1,AstroBit,10
108,281.08,578.1,64.2,620.0,10.7,1,AstroBit,10
109,282.93,594.7,62.0,548.0,3.6,1,AstroBit,10
110,290.65,474.5,53.7,829.0,10.1,1,AstroBit,10
111,293.16,519.0,50.2,674.0,23.2,1,AstroBit,10
112,294.72,530.9,54.4,630.0,20.9,1,AstroBit,10
113,295.06,575.8,51.2,670.0,16.1,1,AstroBit,10
114,296.55,503.6,57.8,676.0,19.3,1,AstroBit,10
115,297.02,532.9,63.8,672.0,13.4,1,AstroBit,10
116,298.51,614.9,58.0,642.0,18.4,1,AstroBit,10
117,299.18,625.4,55.9,776.0,15.6,1,AstroBit,10
118,300.69,606.8,62.8,593.0,16.7,1,AstroBit,10
119,301.02,565.9,60.4,615.0,16.0,1,AstroBit,10
120,302.55,615.0,57.9,707.0,11.2,1,AstroBit,10
121,303.22,595.4,61.0,545.0,23.8,1,AstroBit,10
122,305.08,545.1,63.1,627.0,19.9,1,AstroBit,10
123,307.14,608.0,58.8,647.0,23.6,1,AstroBit,10
124,312.65,449.0,59.2,668.0,14.9,1,AstroBit,10
125,313.08,496.8,51.8,675.0,19.9,1,AstroBit,10
126,314.72,444.4,64.8,576.0,21.7,1,AstroBit,10
127,315.02,502.9,64.9,533.0,14.0,1,AstroBit,10
