,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,170.55,265.4,53.3,585.0,20.0,1,Buzz Drilldrin,11
1,171.0,270.0,53.2,605.0,19.5,1,Buzz Drilldrin,11
2,172.57,269.1,54.0,588.0,19.5,1,Buzz Drilldrin,11
3,173.03,269.6,54.1,609.0,20.2,1,Buzz Drilldrin,11
4,174.53,255.7,53.4,595.0,19.2,1,Buzz Drilldrin,11
5,175.08,265.5,62.1,541.0,12.5,1,Buzz Drilldrin,11
6,176.62,255.8,54.7,590.0,18.7,1,Buzz Drilldrin,11
7,177.06,254.8,55.1,609.0,20.0,1,Buzz Drilldrin,11
8,178.53,275.6,54.4,601.0,18.3,1,Buzz Drilldrin,11
9,179.12,270.0,55.3,607.0,20.3,1,Buzz Drilldrin,11
10,180.55,251.3,53.8,606.0,19.3,1,Buzz Drilldrin,11
11,181.01,278.3,54.0,610.0,19.6,1,Buzz Drilldrin,11
12,182.53,249.1,54.5,577.0,19.8,1,Buzz Drilldrin,11
13,183.14,267.3,58.3,554.0,16.0,1,Buzz Drilldrin,11
14,184.62,278.1,62.7,508.0,12.0,1,Buzz Drilldrin,11
15,185.08,278.4,55.5,571.0,18.2,1,Buzz Drilldrin,11
16,186.55,277.9,55.7,586.0,20.3,1,Buzz Drilldrin,11
17,187.18,277.9,54.1,603.0,19.2,1,Buzz Drilldrin,11
18,188.63,262.7,53.2,614.0,20.6,1,Buzz Drilldrin,11
19,189.08,236.1,61.0,571.0,21.0,1,Buzz Drilldrin,11
20,190.56,249.3,60.3,596.0,20.6,1,Buzz Drilldrin,11
21,191.05,252.9,54.2,608.0,20.1,1,Buzz Drilldrin,11
22,192.57,266.3,54.7,593.0,19.2,1,Buzz Drilldrin,11
23,193.03,272.0,54.7,565.0,18.6,1,Buzz Drilldrin,11
24,194.59,279.8,53.2,560.0,19.8,1,Buzz Drilldrin,11
25,195.06,281.1,54.7,529.0,18.2,1,Buzz Drilldrin,11
26,196.56,214.8,59.4,549.0,20.6,1,Buzz Drilldrin,11
27,197.03,207.5,54.1,557.0,21.0,1,Buzz Drilldrin,11
28,198.57,215.2,56.1,563.0,18.9,1,Buzz Drilldrin,11
29,199.02,237.8,53.4,586.0,19.5,1,Buzz Drilldrin,11
30,200.55,166.9,53.9,580.0,22.2,1,Buzz Drilldrin,11
31,201.02,154.1,58.5,579.0,23.4,1,Buzz Drilldrin,11
32,202.51,161.4,59.1,556.0,21.0,1,Buzz Drilldrin,11
